shp_iucn_sid,iucn_sid,sciname,presence,subpop,dbf_file,max_depth
165871,165871,Centropyge bispinosa,1,NA,ANGELFISH.dbf,< 200 m
165872,165872,Genicanthus watanabei,1,NA,ANGELFISH.dbf,< 200 m
165873,165873,Pomacanthus annularis,1,NA,ANGELFISH.dbf,< 200 m
165874,165874,Genicanthus personatus,1,NA,ANGELFISH.dbf,< 200 m
165875,165875,Centropyge shepardi,1,NA,ANGELFISH.dbf,< 200 m
165876,165876,Centropyge multispinis,1,NA,ANGELFISH.dbf,< 200 m
165827,165827,Genicanthus takeuchii,1,NA,ANGELFISH.dbf,< 200 m
165828,165828,Centropyge fisheri,1,NA,ANGELFISH.dbf,< 200 m
165829,165829,Pomacanthus xanthometopon,1,NA,ANGELFISH.dbf,< 200 m
165830,165830,Centropyge hotumatua,1,NA,ANGELFISH.dbf,< 200 m
165831,165831,Pomacanthus chrysurus,1,NA,ANGELFISH.dbf,< 200 m
165832,165832,Holacanthus bermudensis,1,NA,ANGELFISH.dbf,< 200 m
165833,165833,Pomacanthus maculosus,1,NA,ANGELFISH.dbf,< 200 m
165847,165847,Chaetodontoplus ballinae,1,NA,ANGELFISH.dbf,< 200 m
165848,165848,Centropyge heraldi,1,NA,ANGELFISH.dbf,< 200 m
165849,165849,Centropyge ferrugata,1,NA,ANGELFISH.dbf,< 200 m
165850,165850,Chaetodontoplus melanosoma,1,NA,ANGELFISH.dbf,< 200 m
165851,165851,Pomacanthus semicirculatus,1,NA,ANGELFISH.dbf,< 200 m
165852,165852,Paracentropyge multifasciata,1,NA,ANGELFISH.dbf,< 200 m
165853,165853,Apolemichthys xanthotis,1,NA,ANGELFISH.dbf,< 200 m
165854,165854,Centropyge debelius,1,NA,ANGELFISH.dbf,< 200 m
165855,165855,Centropyge eibli,1,NA,ANGELFISH.dbf,< 200 m
165856,165856,Genicanthus semifasciatus,1,NA,ANGELFISH.dbf,< 200 m
165857,165857,Chaetodontoplus duboulayi,1,NA,ANGELFISH.dbf,< 200 m
165858,165858,Centropyge interruptus,1,NA,ANGELFISH.dbf,< 200 m
165866,165866,Genicanthus semicinctus,1,NA,ANGELFISH.dbf,< 200 m
165867,165867,Pomacanthus navarchus,1,NA,ANGELFISH.dbf,< 200 m
165868,165868,Centropyge nox,1,NA,ANGELFISH.dbf,< 200 m
165879,165879,Holacanthus tricolor,1,NA,ANGELFISH.dbf,< 200 m
165880,165880,Holacanthus passer,1,NA,ANGELFISH.dbf,< 200 m
165881,165881,Chaetodontoplus personifer,1,NA,ANGELFISH.dbf,< 200 m
165882,165882,Chaetodontoplus septentrionalis,1,NA,ANGELFISH.dbf,< 200 m
165883,165883,Holacanthus ciliaris,1,NA,ANGELFISH.dbf,< 200 m
165884,165884,Chaetodontoplus mesoleucus,1,NA,ANGELFISH.dbf,< 200 m
165890,165890,Centropyge joculator,1,NA,ANGELFISH.dbf,< 200 m
165891,165891,Chaetodontoplus meredithi,1,NA,ANGELFISH.dbf,< 200 m
165892,165892,Chaetodontoplus niger,1,NA,ANGELFISH.dbf,< 200 m
165893,165893,Centropyge aurantia,1,NA,ANGELFISH.dbf,< 200 m
165894,165894,Chaetodontoplus caeruleopunctatus,1,NA,ANGELFISH.dbf,< 200 m
165895,165895,Centropyge flavipectoralis,1,NA,ANGELFISH.dbf,< 200 m
165896,165896,Centropyge multicolor,1,NA,ANGELFISH.dbf,< 200 m
165897,165897,Centropyge nigriocellus,1,NA,ANGELFISH.dbf,< 200 m
165898,165898,Pomacanthus paru,1,NA,ANGELFISH.dbf,< 200 m
165899,165899,Centropyge potteri,1,NA,ANGELFISH.dbf,< 200 m
165900,165900,Centropyge venusta,1,NA,ANGELFISH.dbf,< 200 m
165901,165901,Centropyge tibicen,1,NA,ANGELFISH.dbf,< 200 m
165902,165902,Centropyge bicolor,1,NA,ANGELFISH.dbf,< 200 m
168374,168374,Chaetodontoplus poliourus,1,NA,ANGELFISH.dbf,< 200 m
169679,169679,Centropyge abei,1,NA,ANGELFISH.dbf,< 200 m
4131,4131,Centropyge resplendens,1,NA,ANGELFISH.dbf,< 200 m
178043,178043,Albula esuncula,1,NA,BONEFISH_TARPONS.dbf,< 200 m
194303,194303,Albula vulpes,1,NA,BONEFISH_TARPONS.dbf,< 200 m
194305,194305,Pterothrissus belloci,1,NA,BONEFISH_TARPONS.dbf,< 200 m
191822,191822,Elops saurus,1,NA,BONEFISH_TARPONS.dbf,200 m +
194298,194298,Albula argentea,1,NA,BONEFISH_TARPONS.dbf,< 200 m
166868,166868,Megalops cyprinoides,1,NA,BONEFISH_TARPONS.dbf,200 m +
194301,194301,Albula oligolepis,1,NA,BONEFISH_TARPONS.dbf,< 200 m
194302,194302,Albula virgata,1,NA,BONEFISH_TARPONS.dbf,< 200 m
172363,172363,Elops machnata,1,NA,BONEFISH_TARPONS.dbf,< 200 m
172363,172363,Elops machnata,5,NA,BONEFISH_TARPONS.dbf,< 200 m
190357,190357,Albula nemoptera,1,NA,BONEFISH_TARPONS.dbf,< 200 m
184047,184047,Elops affinis,1,NA,BONEFISH_TARPONS.dbf,200 m +
194299,194299,Albula glossodonta,1,NA,BONEFISH_TARPONS.dbf,< 200 m
194306,194306,Pterothrissus gissu,1,NA,BONEFISH_TARPONS.dbf,< 200 m
194307,194307,Elops hawaiensis,1,NA,BONEFISH_TARPONS.dbf,200 m +
194308,194308,Elops senegalensis,1,NA,BONEFISH_TARPONS.dbf,200 m +
194309,194309,Elops smithi,1,NA,BONEFISH_TARPONS.dbf,200 m +
191823,191823,Megalops atlanticus,1,NA,BONEFISH_TARPONS.dbf,< 200 m
199659,199659,Albula koreana,1,NA,BONEFISH_TARPONS.dbf,< 200 m
155220,155220,Chaetodon sedentarius,1,NA,BUTTERFLYFISH.dbf,< 200 m
165646,165646,Prognathodes guyanensis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165631,165631,Chaetodon auriga,1,NA,BUTTERFLYFISH.dbf,< 200 m
165635,165635,Chaetodon humeralis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165636,165636,Chaetodon nippon,1,NA,BUTTERFLYFISH.dbf,< 200 m
165634,165634,Chaetodon austriacus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165637,165637,Chaetodon striatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165653,165653,Chaetodon pelewensis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165658,165658,Prognathodes carlhubbsi,1,NA,BUTTERFLYFISH.dbf,< 200 m
165660,165660,Chelmon muelleri,1,NA,BUTTERFLYFISH.dbf,< 200 m
165639,165639,Roa excelsa,1,NA,BUTTERFLYFISH.dbf,< 200 m
165640,165640,Heniochus chrysostomus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165643,165643,Chaetodon selene,1,NA,BUTTERFLYFISH.dbf,< 200 m
165633,165633,Johnrandallia nigrirostris,1,NA,BUTTERFLYFISH.dbf,< 200 m
165665,165665,Chaetodon ulietensis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165666,165666,Chaetodon mitratus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165667,165667,Forcipiger longirostris,1,NA,BUTTERFLYFISH.dbf,< 200 m
165668,165668,Chaetodon citrinellus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165670,165670,Chaetodon semilarvatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165672,165672,Hemitaurichthys polylepis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165628,165628,Chaetodon kleinii,1,NA,BUTTERFLYFISH.dbf,< 200 m
165705,165705,Chaetodon fasciatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165708,165708,Chaetodon declivis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165709,165709,Chaetodon blackburnii,1,NA,BUTTERFLYFISH.dbf,< 200 m
165710,165710,Chaetodon assarius,1,NA,BUTTERFLYFISH.dbf,< 200 m
165723,165723,Chaetodon collare,1,NA,BUTTERFLYFISH.dbf,< 200 m
165626,165626,Heniochus acuminatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165627,165627,Prognathodes aculeatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165630,165630,Chaetodon vagabundus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165632,165632,Chaetodon punctatofasciatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165638,165638,Chaetodon meyeri,1,NA,BUTTERFLYFISH.dbf,< 200 m
165641,165641,Chaetodon ornatissimus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165642,165642,Chaetodon madagaskariensis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165644,165644,Prognathodes guezei,1,NA,BUTTERFLYFISH.dbf,< 200 m
165645,165645,Prognathodes guyotensis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165647,165647,Chaetodon pictus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165648,165648,Chaetodon decussatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165649,165649,Chaetodon gardineri,1,NA,BUTTERFLYFISH.dbf,< 200 m
165650,165650,Heniochus monoceros,1,NA,BUTTERFLYFISH.dbf,< 200 m
165651,165651,Chaetodon lunula,1,NA,BUTTERFLYFISH.dbf,< 200 m
165652,165652,Heniochus varius,1,NA,BUTTERFLYFISH.dbf,< 200 m
165654,165654,Chaetodon dolosus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165655,165655,Chaetodon multicinctus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165656,165656,Chaetodon xanthurus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165657,165657,Chaetodon plebeius,1,NA,BUTTERFLYFISH.dbf,< 200 m
165659,165659,Chelmon rostratus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165661,165661,Parachaetodon ocellatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165662,165662,Chaetodon fremblii,1,NA,BUTTERFLYFISH.dbf,< 200 m
165663,165663,Chaetodon argentatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165669,165669,Chaetodon lineolatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165704,165704,Chaetodon lunulatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165664,165664,Chaetodon oxycephalus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165671,165671,Chaetodon xanthocephalus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165673,165673,Chaetodon trifasciatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165674,165674,Prognathodes marcellae,1,NA,BUTTERFLYFISH.dbf,< 200 m
165706,165706,Chelmonops curiosus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165707,165707,Chaetodon andamanensis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165711,165711,Chaetodon adiergastos,1,NA,BUTTERFLYFISH.dbf,< 200 m
165713,165713,Chaetodon reticulatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165714,165714,Chaetodon unimaculatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165715,165715,Chaetodon sanctaehelenae,1,NA,BUTTERFLYFISH.dbf,< 200 m
165716,165716,Forcipiger flavissimus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165717,165717,Chaetodon rainfordi,1,NA,BUTTERFLYFISH.dbf,< 200 m
165718,165718,Chaetodon guentheri,1,NA,BUTTERFLYFISH.dbf,< 200 m
165719,165719,Hemitaurichthys zoster,1,NA,BUTTERFLYFISH.dbf,< 200 m
165720,165720,Chelmonops truncatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165721,165721,Chaetodon miliaris,1,NA,BUTTERFLYFISH.dbf,< 200 m
165724,165724,Chaetodon melapterus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165725,165725,Chaetodon semeion,1,NA,BUTTERFLYFISH.dbf,< 200 m
165726,165726,Chaetodon dialeucos,1,NA,BUTTERFLYFISH.dbf,< 200 m
154788,154788,Hemitaurichthys thompsoni,1,NA,BUTTERFLYFISH.dbf,< 200 m
155193,155193,Coradion melanopus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165625,165625,Chaetodon paucifasciatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165689,165689,Chaetodon melannotus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165702,165702,Coradion chrysozonus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165703,165703,Chaetodon aureofasciatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165607,165607,Chaetodon falcula,1,NA,BUTTERFLYFISH.dbf,< 200 m
165608,165608,Heniochus pleurotaenia,1,NA,BUTTERFLYFISH.dbf,< 200 m
165609,165609,Chaetodon larvatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165610,165610,Chaetodon leucopleura,1,NA,BUTTERFLYFISH.dbf,< 200 m
165611,165611,Chaetodon ocellatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165612,165612,Chaetodon zanzibarensis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165613,165613,Prognathodes brasiliensis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165614,165614,Roa jayakari,1,NA,BUTTERFLYFISH.dbf,< 200 m
165615,165615,Chaetodon mertensii,1,NA,BUTTERFLYFISH.dbf,< 200 m
165616,165616,Chelmon marginalis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165617,165617,Hemitaurichthys multispinosus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165618,165618,Chaetodon mesoleucos,1,NA,BUTTERFLYFISH.dbf,< 200 m
165619,165619,Chaetodon guttatissimus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165620,165620,Chaetodon burgessi,1,NA,BUTTERFLYFISH.dbf,< 200 m
165621,165621,Prognathodes aya,1,NA,BUTTERFLYFISH.dbf,< 200 m
165622,165622,Heniochus singularius,1,NA,BUTTERFLYFISH.dbf,< 200 m
165623,165623,Chaetodon octofasciatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165624,165624,Chaetodon triangulum,1,NA,BUTTERFLYFISH.dbf,< 200 m
165675,165675,Chaetodon smithi,1,NA,BUTTERFLYFISH.dbf,< 200 m
165676,165676,Chaetodon ocellicaudus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165677,165677,Roa modestus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165678,165678,Chaetodon quadrimaculatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165679,165679,Chaetodon trichrous,1,NA,BUTTERFLYFISH.dbf,< 200 m
165680,165680,Chaetodon rafflesii,1,NA,BUTTERFLYFISH.dbf,< 200 m
165681,165681,Chaetodon ephippium,1,NA,BUTTERFLYFISH.dbf,< 200 m
165682,165682,Amphichaetodon howensis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165683,165683,Heniochus diphreutes,1,NA,BUTTERFLYFISH.dbf,< 200 m
165684,165684,Chaetodon interruptus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165685,165685,Chaetodon wiebeli,1,NA,BUTTERFLYFISH.dbf,< 200 m
165686,165686,Chaetodon bennetti,1,NA,BUTTERFLYFISH.dbf,< 200 m
165687,165687,Chaetodon tricinctus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165688,165688,Chaetodon flavirostris,1,NA,BUTTERFLYFISH.dbf,< 200 m
165690,165690,Prognathodes dichrous,1,NA,BUTTERFLYFISH.dbf,< 200 m
165691,165691,Heniochus intermedius,1,NA,BUTTERFLYFISH.dbf,< 200 m
165692,165692,Chaetodon baronessa,1,NA,BUTTERFLYFISH.dbf,< 200 m
165693,165693,Chaetodon auripes,1,NA,BUTTERFLYFISH.dbf,< 200 m
165694,165694,Chaetodon speculum,1,NA,BUTTERFLYFISH.dbf,< 200 m
165695,165695,Chaetodon capistratus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165696,165696,Chaetodon nigropunctatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
165697,165697,Coradion altivelis,1,NA,BUTTERFLYFISH.dbf,< 200 m
165698,165698,Chaetodon tinkeri,1,NA,BUTTERFLYFISH.dbf,< 200 m
165699,165699,Chaetodon daedalma,1,NA,BUTTERFLYFISH.dbf,< 200 m
165700,165700,Chaetodon hoefleri,1,NA,BUTTERFLYFISH.dbf,< 200 m
165701,165701,Prognathodes falcifer,1,NA,BUTTERFLYFISH.dbf,< 200 m
165727,165727,Amphichaetodon melbae,1,NA,BUTTERFLYFISH.dbf,< 200 m
4363,4363,Prognathodes obliquus,1,NA,BUTTERFLYFISH.dbf,< 200 m
4364,4364,Chaetodon robustus,1,NA,BUTTERFLYFISH.dbf,< 200 m
4361,4361,Chaetodon litus,1,NA,BUTTERFLYFISH.dbf,< 200 m
4362,4362,Chaetodon marleyi,1,NA,BUTTERFLYFISH.dbf,< 200 m
4360,4360,Chaetodon flavocoronatus,1,NA,BUTTERFLYFISH.dbf,< 200 m
4292,4292,Cetorhinus maximus,1,NA,CHONDRICHTHYES.dbf,200 m +
6229,6229,Dalatias licha,1,NA,CHONDRICHTHYES.dbf,200 m +
60143,60143,Neoharriotta pumila,1,NA,CHONDRICHTHYES.dbf,200 m +
104176764,104176764,Brevitrygon walga,1,NA,CHONDRICHTHYES.dbf,< 200 m
44227,44227,Bythaelurus alcockii,6,NA,CHONDRICHTHYES.dbf,200 m +
9281,9281,Glyphis gangeticus,1,NA,CHONDRICHTHYES.dbf,< 200 m
11200,11200,Lamna nasus,1,NA,CHONDRICHTHYES.dbf,200 m +
39371,39371,Carcharhinus leiodon,1,NA,CHONDRICHTHYES.dbf,< 200 m
161453,161453,Dasyatis pastinaca,1,NA,CHONDRICHTHYES.dbf,< 200 m
39332,39332,Squatina squatina,1,NA,CHONDRICHTHYES.dbf,< 200 m
41876,41876,Odontaspis ferox,1,NA,CHONDRICHTHYES.dbf,200 m +
60200,60200,Mobula thurstoni,1,NA,CHONDRICHTHYES.dbf,200 m +
63141,63141,Oxynotus centrina,1,NA,CHONDRICHTHYES.dbf,200 m +
161426,161426,Chiloscyllium arabicum,1,NA,CHONDRICHTHYES.dbf,< 200 m
161499,161499,Ctenacis fehlmanni,1,NA,CHONDRICHTHYES.dbf,200 m +
161408,161408,Glaucostegus halavi,1,NA,CHONDRICHTHYES.dbf,< 200 m
161488,161488,Halaelurus boesemani,1,NA,CHONDRICHTHYES.dbf,< 200 m
161625,161625,Halaelurus quagga,1,NA,CHONDRICHTHYES.dbf,200 m +
161720,161720,Heterodontus omanensis,1,NA,CHONDRICHTHYES.dbf,< 200 m
161632,161632,Heteronarce bentuviai,1,NA,CHONDRICHTHYES.dbf,< 200 m
161663,161663,Heteronarce mollis,1,NA,CHONDRICHTHYES.dbf,200 m +
107604987,107604987,Maculabatis arabica,1,NA,CHONDRICHTHYES.dbf,< 200 m
47407786,47407786,Maculabatis randalli,1,NA,CHONDRICHTHYES.dbf,< 200 m
161690,161690,Narcine oculifera,1,NA,CHONDRICHTHYES.dbf,< 200 m
107604828,107604828,Okamejei ornata,1,NA,CHONDRICHTHYES.dbf,200 m +
70682503,70682503,Pastinachus sephen,1,NA,CHONDRICHTHYES.dbf,< 200 m
103055306,103055306,Planonasus parini,1,NA,CHONDRICHTHYES.dbf,200 m +
161723,161723,Raja pita,6,NA,CHONDRICHTHYES.dbf,< 200 m
161447,161447,Rhinobatos punctifer,1,NA,CHONDRICHTHYES.dbf,< 200 m
60131,60131,Torpedo adenensis,1,NA,CHONDRICHTHYES.dbf,< 200 m
60181,60181,Rhynchobatus sp. nov. A,1,NA,CHONDRICHTHYES.dbf,200 m +
107604242,107604242,Acroteriobatus omanensis,1,NA,CHONDRICHTHYES.dbf,< 200 m
60172,60172,Acroteriobatus salalah,1,NA,CHONDRICHTHYES.dbf,< 200 m
161476,161476,Acroteriobatus variegatus,1,NA,CHONDRICHTHYES.dbf,< 200 m
104023514,104023514,Aetomylaeus milvus,1,NA,CHONDRICHTHYES.dbf,< 200 m
39370,39370,Carcharhinus falciformis,1,NA,CHONDRICHTHYES.dbf,200 m +
60199,60199,Mobula tarapacana,1,NA,CHONDRICHTHYES.dbf,200 m +
60233,60233,Scyliorhinus retifer,1,NA,CHONDRICHTHYES.dbf,200 m +
18175,43398244,Pristis pectinata,1,Pristis pectinata Eastern Atlantic,CHONDRICHTHYES.dbf,< 20 m
18175,43398250,Pristis pectinata,1,Pristis pectinata Western Atlantic,CHONDRICHTHYES.dbf,< 20 m
18175,43398244,Pristis pectinata,4,Pristis pectinata Eastern Atlantic,CHONDRICHTHYES.dbf,< 20 m
18175,43398250,Pristis pectinata,4,Pristis pectinata Western Atlantic,CHONDRICHTHYES.dbf,< 20 m
18175,43398244,Pristis pectinata,6,Pristis pectinata Eastern Atlantic,CHONDRICHTHYES.dbf,< 20 m
18175,43398250,Pristis pectinata,6,Pristis pectinata Western Atlantic,CHONDRICHTHYES.dbf,< 20 m
42713,42713,Halaelurus sellus,1,NA,CHONDRICHTHYES.dbf,< 200 m
42729,42729,Squatina albipunctata,1,NA,CHONDRICHTHYES.dbf,200 m +
44207,44207,Apristurus aphyodes,1,NA,CHONDRICHTHYES.dbf,200 m +
44209,44209,Apristurus brunneus,1,NA,CHONDRICHTHYES.dbf,200 m +
60148,60148,Hemitrygon akajei,1,NA,CHONDRICHTHYES.dbf,200 m +
60149,60149,Hypanus americanus,1,NA,CHONDRICHTHYES.dbf,200 m +
161340,161340,Amblyraja reversa,1,NA,CHONDRICHTHYES.dbf,200 m +
60150,60150,Neotrygon annotata,1,NA,CHONDRICHTHYES.dbf,< 200 m
60161,60161,Himantura schmardae,1,NA,CHONDRICHTHYES.dbf,200 m +
60141,60141,Neoharriotta carri,1,NA,CHONDRICHTHYES.dbf,200 m +
60123,60123,Myliobatis chilensis,1,NA,CHONDRICHTHYES.dbf,200 m +
60124,60124,Myliobatis hamlyni,1,NA,CHONDRICHTHYES.dbf,200 m +
60107,60107,Urobatis concentricus,1,NA,CHONDRICHTHYES.dbf,< 200 m
60159,60159,Hypanus say,1,NA,CHONDRICHTHYES.dbf,< 200 m
63114,63114,Chimaera monstrosa,1,NA,CHONDRICHTHYES.dbf,200 m +
19488,19488,Rhincodon typus,1,NA,CHONDRICHTHYES.dbf,200 m +
63122,63122,Amblyraja doellojuradoi,1,NA,CHONDRICHTHYES.dbf,200 m +
60169,60169,Rhinobatos nudidorsalis,1,NA,CHONDRICHTHYES.dbf,200 m +
60170,60170,Glaucostegus obtusus,1,NA,CHONDRICHTHYES.dbf,200 m +
60127,60127,Aetomylaeus bovinus,1,NA,CHONDRICHTHYES.dbf,200 m +
60128,60128,Rhinoptera bonasus,1,NA,CHONDRICHTHYES.dbf,200 m +
60129,60129,Rhinoptera javanica,1,NA,CHONDRICHTHYES.dbf,200 m +
60130,60130,Rhinoptera steindachneri,1,NA,CHONDRICHTHYES.dbf,200 m +
60175,60175,Glaucostegus thouin,1,NA,CHONDRICHTHYES.dbf,200 m +
40797,40797,Carcharhinus amblyrhynchoides,1,NA,CHONDRICHTHYES.dbf,< 200 m
39372,39372,Carcharhinus leucas,1,NA,CHONDRICHTHYES.dbf,< 200 m
39374,39374,Carcharhinus longimanus,1,NA,CHONDRICHTHYES.dbf,200 m +
39378,39378,Galeocerdo cuvier,1,NA,CHONDRICHTHYES.dbf,200 m +
39352,39352,Galeorhinus galeus,1,NA,CHONDRICHTHYES.dbf,200 m +
39363,39363,Triakis semifasciata,1,NA,CHONDRICHTHYES.dbf,< 200 m
39413,39413,Urogymnus asperrimus,1,NA,CHONDRICHTHYES.dbf,< 200 m
39415,39415,Aetobatus narinari,1,NA,CHONDRICHTHYES.dbf,200 m +
39324,39324,Notorynchus cepedianus,1,NA,CHONDRICHTHYES.dbf,< 200 m
39327,39327,Pristiophorus cirratus,1,NA,CHONDRICHTHYES.dbf,200 m +
39328,39328,Squatina californica,1,NA,CHONDRICHTHYES.dbf,< 200 m
39329,39329,Squatina argentina,1,NA,CHONDRICHTHYES.dbf,< 200 m
39330,39330,Squatina guggenheim,1,NA,CHONDRICHTHYES.dbf,< 200 m
39333,39333,Heterodontus francisci,1,NA,CHONDRICHTHYES.dbf,200 m +
39334,39334,Heterodontus portusjacksoni,1,NA,CHONDRICHTHYES.dbf,< 200 m
39335,39335,Brachaelurus colcloughi,1,NA,CHONDRICHTHYES.dbf,< 200 m
39336,39336,Odontaspis noronhai,1,NA,CHONDRICHTHYES.dbf,< 200 m
39337,39337,Pseudocarcharias kamoharai,1,NA,CHONDRICHTHYES.dbf,200 m +
39338,39338,Megachasma pelagios,1,NA,CHONDRICHTHYES.dbf,200 m +
39339,39339,Alopias vulpinus,1,NA,CHONDRICHTHYES.dbf,200 m +
39341,39341,Isurus oxyrinchus,1,NA,CHONDRICHTHYES.dbf,200 m +
39342,39342,Lamna ditropis,1,NA,CHONDRICHTHYES.dbf,200 m +
39345,39345,Haploblepharus edwardsii,1,NA,CHONDRICHTHYES.dbf,< 200 m
