iucn_sid,dbf_file,sciname,main_common_name,cat,cat_score,published_year,iucn_version
2958,NA,Brachionichthys hirsutus,Spotted Handfish,CR,0.8,1996,2018-1
3381,NA,Butis butis,Crimson-tipped Gudgeon,LC,0,2017,2018-1
3565,NA,Callionymus sanctaehelenae,St Helena Dragonet,CR,0.8,1996,2018-1
3590,MARINE_MAMMALS.dbf,Callorhinus ursinus,Northern Fur Seal,VU,0.4,2015,2018-1
3764,PUFFERFISH.dbf,Canthigaster rapaensis,NA,EN,0.6,2014,2018-1
3778,MARINE_MAMMALS.dbf,Caperea marginata,Pygmy Right Whale,DD,NA,2008,2018-1
3851,CHONDRICHTHYES.dbf,Carcharhinus limbatus,Blacktip Shark,NT,0.2,2009,2018-1
3852,CHONDRICHTHYES.dbf,Carcharhinus obscurus,Dusky Shark,VU,0.4,2009,2018-1
3853,CHONDRICHTHYES.dbf,Carcharhinus plumbeus,Sandbar Shark,VU,0.4,2009,2018-1
3854,CHONDRICHTHYES.dbf,Carcharias taurus,Sand Tiger Shark,VU,0.4,2009,2018-1
3855,CHONDRICHTHYES.dbf,Carcharodon carcharias,Great White Shark,VU,0.4,2009,2018-1
3856,NA,Carcinoscorpius rotundicauda,Horseshoe Crabs,DD,NA,1996,2018-1
3897,REPTILES.dbf,Caretta caretta,Loggerhead Turtle,VU,0.4,2017,2018-1
4131,ANGELFISH.dbf,Centropyge resplendens,Resplendent Pygmy Angelfish,LC,0,2010,2018-1
4159,NA,Cephalorhynchus commersonii,Commerson's Dolphin,LC,0,2017,2018-1
4160,MARINE_MAMMALS.dbf,Cephalorhynchus eutropia,Chilean Dolphin,NT,0.2,2017,2018-1
4161,MARINE_MAMMALS.dbf,Cephalorhynchus heavisidii,Heaviside's Dolphin,DD,NA,2013,2018-1
4162,MARINE_MAMMALS.dbf,Cephalorhynchus hectori,Hector's Dolphin,EN,0.6,2013,2018-1
4292,CHONDRICHTHYES.dbf,Cetorhinus maximus,Basking Shark,VU,0.4,2009,2018-1
4360,BUTTERFLYFISH.dbf,Chaetodon flavocoronatus,Yellow-crowned Butterflyfish,LC,0,2010,2018-1
4361,BUTTERFLYFISH.dbf,Chaetodon litus,Easter Island Butterflyfish,LC,0,2010,2018-1
4362,BUTTERFLYFISH.dbf,Chaetodon marleyi,Doublesash Butterflyfish,LC,0,2010,2018-1
4363,BUTTERFLYFISH.dbf,Prognathodes obliquus,Oblique Butterflyfish,DD,NA,2010,2018-1
4364,BUTTERFLYFISH.dbf,Chaetodon robustus,Three-banded Butterflyfish,LC,0,2010,2018-1
4592,NA,Cheilinus undulatus,Humphead Wrasse,EN,0.6,2004,2018-1
4615,REPTILES.dbf,Chelonia mydas,Green Turtle,EN,0.6,2004,2018-1
4805,DAMSELFISH.dbf,Chromis sanctaehelenae,St. Helena Chromis,LC,0,2015,2018-1
4982,COMBTOOTHBLENNIES.dbf,Clinus spatulatus,Bot River Klipfish,EN,0.6,2014,2018-1
5119,NA,Collisella edmitchelli,NA,EX,1,1996,2018-1
5216,NA,Conacmella vagans,NA,DD,NA,1996,2018-1
5269,CONUS.dbf,Conus africanus,NA,LC,0,2012,2018-1
5270,CONUS.dbf,Conus cepasi,NA,VU,0.4,2012,2018-1
5271,NA,Conus kohni,NA,DD,NA,1996,2018-1
5272,CONUS.dbf,Conus nobrei,NA,NT,0.2,2012,2018-1
5273,CONUS.dbf,Conus zebroides,NA,NT,0.2,2013,2018-1
5325,COMBTOOTHBLENNIES.dbf,Emblemariopsis tayrona,Tayrona Blenny,LC,0,2015,2018-1
5362,NA,Coregonus artedi,Cisco,LC,0,1996,2018-1
5486,NA,Crassispira sacerdotalis,NA,DD,NA,1996,2018-1
5659,REPTILES.dbf,Crocodylus acutus,American Crocodile,VU,0.4,2012,2018-1
5668,REPTILES.dbf,Crocodylus porosus,Salt-water Crocodile,LC,0,1996,2018-1
5675,NA,Croilia mossambica,Burrowing Goby,LC,0,2007,2018-1
6069,NA,Cymatium parthenopaeum,NA,LC,0,2000,2018-1
6202,NA,Cysticus gutta,NA,DD,NA,1996,2018-1
6203,NA,Cysticus josephinae,NA,DD,NA,1996,2018-1
6204,MARINE_MAMMALS.dbf,Cystophora cristata,Hooded Seal,VU,0.4,2016,2018-1
6229,CHONDRICHTHYES.dbf,Dalatias licha,Kitefin Shark,NT,0.2,2009,2018-1
6335,MARINE_MAMMALS.dbf,Delphinapterus leucas,Beluga Whale,LC,0,2017,2018-1
6336,MARINE_MAMMALS.dbf,Delphinus delphis,Short-beaked Common Dolphin,LC,0,2008,2018-1
6337,MARINE_MAMMALS.dbf,Delphinus capensis,Long-beaked Common Dolphin,DD,NA,2008,2018-1
6494,REPTILES.dbf,Dermochelys coriacea,Leatherback,VU,0.4,2013,2018-1
6814,NA,Dunckerocampus dactyliophorus,Banded Pipefish,DD,NA,2016,2018-1
6909,MARINE_MAMMALS.dbf,Dugong dugon,Dugong,VU,0.4,2015,2018-1
7011,NA,Echinus esculentus,European Edible Sea Urchin,NT,0.2,1996,2018-1
7035,NA,Edwardsia ivelli,Ivell's Sea Anemone,DD,NA,1996,2018-1
7134,NA,Eleotris sandwicensis,Hawaii Spinecheek Gudgeon,DD,NA,2013,2018-1
7135,NA,Eleotris melanosoma,Broadhead Sleeper,LC,0,2017,2018-1
7750,TERRESTRIAL_MAMMALS.dbf,Enhydra lutris,Sea Otter,EN,0.6,2015,2018-1
7778,COMBTOOTHBLENNIES.dbf,Entomacrodus cadenati,West African Rockhopper,LC,0,2014,2018-1
7854,GROUPERS.dbf,Epinephelus drummondhayi,Speckled Hind,CR,0.8,2006,2018-1
7855,GROUPERS.dbf,Hyporthodus exsul,Tenspine Grouper,DD,NA,2017,2018-1
7858,GROUPERS.dbf,Epinephelus lanceolatus,Giant Grouper,VU,0.4,2006,2018-1
7859,GROUPERS.dbf,Epinephelus marginatus,Dusky Grouper,EN,0.6,2004,2018-1
7860,GROUPERS.dbf,Hyporthodus nigritus,Warsaw Grouper,CR,0.8,2006,2018-1
7861,GROUPERS.dbf,Hyporthodus niveatus,Snowy Grouper,VU,0.4,2008,2018-1
7862,GROUPERS.dbf,Epinephelus striatus,Nassau Grouper,EN,0.6,2003,2018-1
8005,REPTILES.dbf,Eretmochelys imbricata,Hawksbill Turtle,CR,0.8,2008,2018-1
8010,MARINE_MAMMALS.dbf,Erignathus barbatus,Bearded Seal,LC,0,2016,2018-1
8012,NA,Erignathus barbatus ssp. barbatus,Atlantic Bearded Seal,LC,0,2016,2018-1
8013,NA,Erignathus barbatus ssp. nauticus,Pacific Bearded Seal,LC,0,2015,2018-1
8097,MARINE_MAMMALS.dbf,Eschrichtius robustus,Gray Whale,LC,0,2008,2018-1
8099,MARINE_MAMMALS.dbf,Eschrichtius robustus western subpopulation,Western Gray Whale,CR,0.8,2008,2018-1
8153,MARINE_MAMMALS.dbf,Eubalaena australis,Southern Right Whale,LC,0,2018,2018-1
8239,MARINE_MAMMALS.dbf,Eumetopias jubatus,Steller Sea Lion,NT,0.2,2016,2018-1
8261,NA,Eunice viridis,Samoan Palolo Worm,DD,NA,1996,2018-1
8262,NA,Eunicella verrucosa,Pink Sea Fan,VU,0.4,1996,2018-1
8407,NA,Eurypegasus draconis,Short Dragonfish,LC,0,2017,2018-1
8408,NA,Eurypegasus papilio,Hawaiian Sea-moth Fish,LC,0,2016,2018-1
8409,NA,Eurypegasus draconis Philippines stock,Little Dragonfish,VU,0.4,1996,2018-1
8551,MARINE_MAMMALS.dbf,Feresa attenuata,Pygmy Killer Whale,DD,NA,2008,2018-1
8784,NA,Gadus morhua,Atlantic Cod,VU,0.4,1996,2018-1
8806,NA,Galaxias johnstoni,Clarence Galaxias,CR,0.8,1996,2018-1
8817,NA,Galaxias argenteus,Giant Kokopu,VU,0.4,2014,2018-1
8951,NA,Gasterosteus aculeatus,Threespined Stickleback,LC,0,2015,2018-1
9175,NA,Gibberula cucullata,NA,DD,NA,1996,2018-1
9176,NA,Gibberula modica,NA,DD,NA,1996,2018-1
9177,NA,Gibberula puntillum,NA,DD,NA,1996,2018-1
9249,MARINE_MAMMALS.dbf,Globicephala macrorhynchus,Short-finned Pilot Whale,DD,NA,2011,2018-1
9250,MARINE_MAMMALS.dbf,Globicephala melas,Long-finned Pilot Whale,DD,NA,2008,2018-1
9266,NA,Psammogobius biocellatus,Sleepy Goby,LC,0,2017,2018-1
9281,CHONDRICHTHYES.dbf,Glyphis gangeticus,Ganges Shark,CR,0.8,2007,2018-1
9461,MARINE_MAMMALS.dbf,Grampus griseus,Risso's Dolphin,LC,0,2012,2018-1
9463,NA,Granulina parilis,NA,DD,NA,1996,2018-1
9660,MARINE_MAMMALS.dbf,Halichoerus grypus,Grey Seal,LC,0,2016,2018-1
10016,NA,Heteropoma fulva,NA,DD,NA,1996,2018-1
10017,NA,Heteropoma glabratum,NA,DD,NA,1996,2018-1
10018,NA,Heteropoma pyramis,NA,DD,NA,1996,2018-1
10019,NA,Heteropoma quadrasi,NA,DD,NA,1996,2018-1
10020,NA,Heteropoma tuberculatum,NA,DD,NA,1996,2018-1
10021,NA,Heteropoma turritum,NA,DD,NA,1996,2018-1
10030,CHONDRICHTHYES.dbf,Hexanchus griseus,Bluntnose Sixgill Shark,NT,0.2,2009,2018-1
10056,NA,Hippocampus capensis,Knysna Seahorse,EN,0.6,2017,2018-1
10057,NA,Hippocampus abdominalis,Pot-bellied Seahorse,LC,0,2017,2018-1
10060,NA,Hippocampus bargibanti,Bargibant's Seahorse,DD,NA,2017,2018-1
10063,NA,Hippocampus breviceps,Short-snouted Seahorse,LC,0,2017,2018-1
10064,NA,Hippocampus camelopardalis,Giraffe Seahorse,DD,NA,2017,2018-1
10065,NA,Hippocampus coronatus,High-crowned Seahorse,DD,NA,2016,2018-1
10066,NA,Hippocampus erectus,Lined Seahorse,VU,0.4,2017,2018-1
10069,NA,Hippocampus hippocampus,Short-snouted Seahorse,DD,NA,2017,2018-1
10070,NA,Hippocampus histrix,Thorny Seahorse,VU,0.4,2017,2018-1
10072,NA,Hippocampus ingens,Giant Seahorse,VU,0.4,2017,2018-1
10074,NA,Hippocampus jayakari,Jayakar's Seahorse,LC,0,2017,2018-1
10075,NA,Hippocampus kuda,Spotted Seahorse,VU,0.4,2014,2018-1
10077,NA,Hippocampus minotaur,Bullneck Seahorse,DD,NA,2017,2018-1
10082,NA,Hippocampus reidi,Long-snout Seahorse,NT,0.2,2017,2018-1
10083,NA,Hippocampus sindonis,Sindo's Seahorse,LC,0,2017,2018-1
10087,NA,Hippocampus trimaculatus,Three-spot Seahorse,VU,0.4,2015,2018-1
10088,NA,Hippocampus whitei,White's Seahorse,EN,0.6,2017,2018-1
10089,NA,Hippocampus zosterae,Dwarf Seahorse,LC,0,2017,2018-1
10097,NA,Hippoglossus hippoglossus,Atlantic Halibut,EN,0.6,1996,2018-1
10105,NA,Hippopus hippopus,Horse's Hoof Clam,VU,0.4,1996,2018-1
10106,NA,Hippopus porcellanus,China Clam,VU,0.4,1996,2018-1
10268,NA,Huso dauricus,Kaluga,CR,0.8,2010,2018-1
10269,NA,Huso huso,Beluga,CR,0.8,2010,2018-1
10273,NA,Huso huso Adriatic Sea stock,Beluga,EX,1,1996,2018-1
10303,NA,Hydrodamalis gigas,Steller's Sea Cow,EX,1,2016,2018-1
10340,MARINE_MAMMALS.dbf,Hydrurga leptonyx,Leopard Seal,LC,0,2015,2018-1
10707,MARINE_MAMMALS.dbf,Hyperoodon ampullatus,North Atlantic Bottlenose Whale,DD,NA,2008,2018-1
10708,MARINE_MAMMALS.dbf,Hyperoodon planifrons,Southern Bottlenose Whale,LC,0,2008,2018-1
10724,NA,Hypoplectrus providencianus,Masked Hamlet,LC,0,2015,2018-1
10939,NA,Jenkinsia parvula,Venezuelan Herring,DD,NA,2017,2018-1
11030,NA,Knipowitschia caucasica,NA,LC,0,2008,2018-1
11047,MARINE_MAMMALS.dbf,Kogia breviceps,Pygmy Sperm Whale,DD,NA,2012,2018-1
11048,MARINE_MAMMALS.dbf,Kogia sima,Dwarf Sperm Whale,DD,NA,2012,2018-1
11060,NA,Kuhlia marginata,Silver Flagtail,LC,0,2012,2018-1
11130,WRASSE.dbf,Lachnolaimus maximus,Hogfish,VU,0.4,2010,2018-1
11140,MARINE_MAMMALS.dbf,Lagenodelphis hosei,Fraser's Dolphin,LC,0,2012,2018-1
11141,MARINE_MAMMALS.dbf,Lagenorhynchus acutus,Atlantic White-sided Dolphin,LC,0,2008,2018-1
11142,MARINE_MAMMALS.dbf,Lagenorhynchus albirostris,White-beaked Dolphin,LC,0,2012,2018-1
11143,MARINE_MAMMALS.dbf,Lagenorhynchus australis,Peale's Dolphin,DD,NA,2008,2018-1
11144,MARINE_MAMMALS.dbf,Lagenorhynchus cruciger,Hourglass Dolphin,LC,0,2008,2018-1
11145,MARINE_MAMMALS.dbf,Lagenorhynchus obliquidens,Pacific White-sided Dolphin,LC,0,2012,2018-1
11146,MARINE_MAMMALS.dbf,Lagenorhynchus obscurus,Dusky Dolphin,DD,NA,2008,2018-1
11150,PUFFERFISH.dbf,Lagocephalus gloveri,Brown-backed Toadfish,DD,NA,2014,2018-1
11191,NA,Ophioglossolambis violacea,NA,DD,NA,1996,2018-1
11200,CHONDRICHTHYES.dbf,Lamna nasus,Porbeagle,VU,0.4,2006,2018-1
11368,NA,Latiaxis babelis,NA,NT,0.2,1996,2018-1
11375,NA,Latimeria chalumnae,Coelacanth,CR,0.8,2000,2018-1
11501,NA,Lentipes concolor,Oopu Alamoo,DD,NA,1996,2018-1
11533,NA,Lepidochelys kempii,Kemp's Ridley,CR,0.8,1996,2018-1
11534,REPTILES.dbf,Lepidochelys olivacea,Olive Ridley,VU,0.4,2008,2018-1
11696,MARINE_MAMMALS.dbf,Leptonychotes weddellii,Weddell Seal,LC,0,2015,2018-1
11987,NA,Limulus polyphemus,American Horseshoe Crab,VU,0.4,2016,2018-1
12103,NA,Liosaccus pachygaster,NA,VU,0.4,1996,2018-1
12125,MARINE_MAMMALS.dbf,Lissodelphis borealis,Northern Right Whale Dolphin,LC,0,2012,2018-1
12126,MARINE_MAMMALS.dbf,Lissodelphis peronii,Southern Right Whale Dolphin,DD,NA,2012,2018-1
12137,SEABREAMS_PORGIES.dbf,Lithognathus lithognathus,White Steenbras,EN,0.6,2014,2018-1
12242,NA,Littoraria flammea,NA,EX,1,1996,2018-1
12244,NA,Liza luciae,St. Lucia Mullet,EN,0.6,1996,2018-1
12246,MARINE_MAMMALS.dbf,Lobodon carcinophaga,Crabeater Seal,LC,0,2015,2018-1
12302,TERRESTRIAL_MAMMALS.dbf,Lontra canadensis,North American River Otter,LC,0,2015,2018-1
12303,TERRESTRIAL_MAMMALS.dbf,Lontra felina,Marine Otter,EN,0.6,2015,2018-1
12305,TERRESTRIAL_MAMMALS.dbf,Lontra provocax,Southern River Otter,EN,0.6,2015,2018-1
12382,NA,Lottia alveus,Eelgrass Limpet,EX,1,1996,2018-1
12404,NA,Luciogobius pallidus,Well Earthworm Goby,DD,NA,1996,2018-1
12416,NA,Lutjanus analis,Mutton Snapper,NT,0.2,2016,2018-1
12417,NA,Lutjanus cyanopterus,Cubera Snapper,VU,0.4,2016,2018-1
12419,TERRESTRIAL_MAMMALS.dbf,Lutra lutra,Eurasian Otter,NT,0.2,2015,2018-1
12421,TERRESTRIAL_MAMMALS.dbf,Lutra sumatrana,Hairy-nosed Otter,EN,0.6,2015,2018-1
12427,TERRESTRIAL_MAMMALS.dbf,Lutrogale perspicillata,Smooth-coated Otter,VU,0.4,2015,2018-1
12807,NA,Marginella chalmersi,NA,DD,NA,1996,2018-1
12808,NA,Marginella gemma,NA,DD,NA,1996,2018-1
12809,NA,Marginella liparozona,NA,DD,NA,1996,2018-1
12810,NA,Marginella melvilli,NA,DD,NA,1996,2018-1
13006,MARINE_MAMMALS.dbf,Megaptera novaeangliae,Humpback Whale,LC,0,2008,2018-1
13045,NA,Melanogrammus aeglefinus,Haddock,VU,0.4,1996,2018-1
13145,NA,Menidia conchorum,Key Silverside,EN,0.6,2015,2018-1
13232,NA,Mesogobius batrachocephalus,Toad Goby,LC,0,2008,2018-1
13238,NA,Mesonerilla prospera,NA,CR,0.8,1996,2018-1
13241,MARINE_MAMMALS.dbf,Mesoplodon bidens,Sowerby's Beaked Whale,DD,NA,2008,2018-1
13242,MARINE_MAMMALS.dbf,Mesoplodon bowdoini,Andrew's Beaked Whale,DD,NA,2008,2018-1
13243,MARINE_MAMMALS.dbf,Mesoplodon carlhubbsi,Hubbs' Beaked Whale,DD,NA,2008,2018-1
13244,MARINE_MAMMALS.dbf,Mesoplodon densirostris,Blainville's Beaked Whale,DD,NA,2008,2018-1
13245,MARINE_MAMMALS.dbf,Mesoplodon europaeus,Gervais' Beaked Whale,DD,NA,2008,2018-1
13246,MARINE_MAMMALS.dbf,Mesoplodon ginkgodens,Ginkgo-toothed Beaked Whale,DD,NA,2008,2018-1
13247,MARINE_MAMMALS.dbf,Mesoplodon grayi,Gray's Beaked Whale,DD,NA,2008,2018-1
13248,MARINE_MAMMALS.dbf,Mesoplodon hectori,Hector's Beaked Whale,DD,NA,2008,2018-1
13249,MARINE_MAMMALS.dbf,Mesoplodon layardii,Strap-toothed Whale,DD,NA,2008,2018-1
13250,MARINE_MAMMALS.dbf,Mesoplodon mirus,True's Beaked Whale,DD,NA,2008,2018-1
13251,MARINE_MAMMALS.dbf,Mesoplodon peruvianus,Pygmy Beaked Whale,DD,NA,2008,2018-1
13252,MARINE_MAMMALS.dbf,Mesoplodon stejnegeri,Stejneger's Beaked Whale,DD,NA,2008,2018-1
13581,MARINE_MAMMALS.dbf,Mirounga angustirostris,Northern Elephant Seal,LC,0,2015,2018-1
13583,MARINE_MAMMALS.dbf,Mirounga leonina,Southern Elephant Seal,LC,0,2015,2018-1
13653,MARINE_MAMMALS.dbf,Monachus monachus,Mediterranean Monk Seal,EN,0.6,2015,2018-1
13654,MARINE_MAMMALS.dbf,Neomonachus schauinslandi,Hawaiian Monk Seal,EN,0.6,2015,2018-1
13655,NA,Neomonachus tropicalis,Caribbean Monk Seal,EX,1,2015,2018-1
13704,MARINE_MAMMALS.dbf,Monodon monoceros,Narwhal,LC,0,2017,2018-1
13852,NA,Mordacia lapicida,Lamprea de Agua Dulce,DD,NA,1996,2018-1
13932,NA,Muricopsis mariangelae,NA,DD,NA,1996,2018-1
13933,NA,Muricopsis matildae,NA,DD,NA,1996,2018-1
13934,NA,Muricopsis principensis,NA,DD,NA,1996,2018-1
14048,GROUPERS.dbf,Mycteroperca cidi,Venezuelan Grouper,DD,NA,2008,2018-1
14049,GROUPERS.dbf,Mycteroperca jordani,Gulf Grouper,EN,0.6,2008,2018-1
14050,GROUPERS.dbf,Mycteroperca microlepis,Gag,LC,0,2008,2018-1
14051,GROUPERS.dbf,Mycteroperca olfax,Colorado Grouper,VU,0.4,2015,2018-1
14052,GROUPERS.dbf,Mycteroperca prionura,Sawtail Grouper,NT,0.2,2008,2018-1
14053,GROUPERS.dbf,Mycteroperca rosacea,Leopard Grouper,VU,0.4,2008,2018-1
14054,GROUPERS.dbf,Mycteroperca rubra,Mottled Grouper,LC,0,2008,2018-1
14214,NA,Triglopsis quadricornis,Fourhorn Sculpin,LC,0,2013,2018-1
14264,NA,Myxus capensis,Freshwater Mullet,LC,0,2007,2018-1
14363,NA,Natator depressus,Flatback,DD,NA,1996,2018-1
14500,NA,Nematostella vectensis,Starlet Sea Anemone,VU,0.4,1996,2018-1
14549,MARINE_MAMMALS.dbf,Neophoca cinerea,Australian Sea Lion,EN,0.6,2015,2018-1
14561,NA,Neorapana grandis,NA,DD,NA,1996,2018-1
14562,NA,Neosalanx regani,Ariake Dwarf Icefish,VU,0.4,1996,2018-1
14831,NA,Nodipecten magnificus,NA,DD,NA,1996,2018-1
15106,MARINE_MAMMALS.dbf,Odobenus rosmarus,Walrus,VU,0.4,2016,2018-1
15108,NA,Odobenus rosmarus ssp. rosmarus,Atlantic Walrus,NT,0.2,2016,2018-1
15184,NA,Ogilbia galapagosensis,Galapagos Cuskeel,VU,0.4,2010,2018-1
15239,NA,Oxyurichthys keiensis,Kei Goby,LC,0,2010,2018-1
15269,MARINE_MAMMALS.dbf,Ommatophoca rossii,Ross Seal,LC,0,2015,2018-1
15270,NA,Omphalotropis albocarinata,NA,DD,NA,1996,2018-1
15271,NA,Omphalotropis carolinensis,NA,DD,NA,1996,2018-1
15273,NA,Omphalotropis cookei,NA,DD,NA,1996,2018-1
15274,NA,Omphalotropis elegans,NA,DD,NA,1996,2018-1
15275,NA,Omphalotropis elongatula,NA,DD,NA,1996,2018-1
15276,NA,Omphalotropis erosa,NA,DD,NA,1996,2018-1
15278,NA,Omphalotropis fragilis,NA,DD,NA,1996,2018-1
15279,NA,Omphalotropis gracilis,NA,DD,NA,1996,2018-1
15280,NA,Omphalotropis guamensis,NA,DD,NA,1996,2018-1
15281,NA,Omphalotropis howeinsulae,NA,DD,NA,1996,2018-1
15283,NA,Omphalotropis laevigata,NA,DD,NA,1996,2018-1
15284,NA,Omphalotropis laticosta,NA,DD,NA,1996,2018-1
15285,NA,Omphalotropis latilabris,NA,DD,NA,1996,2018-1
15286,NA,Omphalotropis mutica,NA,DD,NA,1996,2018-1
15287,NA,Omphalotropis ochthogyra,NA,DD,NA,1996,2018-1
15288,NA,Omphalotropis picta,NA,DD,NA,1996,2018-1
15289,NA,Omphalotropis pilosa,NA,DD,NA,1996,2018-1
15290,NA,Omphalotropis quadrasi,NA,DD,NA,1996,2018-1
15291,NA,Omphalotropis semicostulata,NA,DD,NA,1996,2018-1
15292,NA,Omphalotropis striatapila,NA,DD,NA,1996,2018-1
15293,NA,Omphalotropis submaritima,NA,DD,NA,1996,2018-1
15295,NA,Omphalotropis suturalis,NA,DD,NA,1996,2018-1
15296,NA,Omphalotropis tumidula,NA,DD,NA,1996,2018-1
15297,NA,Omphalotropis plicosa,NA,EX,1,1996,2018-1
