loiczid,n_spp,mean_trend
14052,3,-0.00851
14053,2,0
14054,2,0
14055,2,0
14056,2,0
14057,2,0
14058,3,-0.00851
14059,2,0
14060,3,-0.00851
14061,3,-0.00851
14062,3,-0.00851
14063,3,-0.00851
14064,5,-0.005106
14065,4,0
14066,5,-0.005106
14067,5,-0.005106
14068,5,-0.005106
14069,2,-0.012765
14070,2,-0.012765
14071,2,-0.012765
14072,3,-0.00851
14084,1,0
14085,1,0
14093,2,-0.012765
14094,2,-0.012765
14095,1,-0.02553
14096,2,-0.012765
14097,2,-0.012765
14098,2,-0.012765
14099,2,-0.012765
14100,2,-0.012765
14101,2,-0.012765
14102,2,-0.012765
14103,2,-0.012765
14104,2,-0.012765
14108,1,0
14110,1,0
14111,1,0
14112,1,0
14113,1,0
14114,1,0
14115,1,0
14116,1,0
14117,1,0
14118,1,0
14119,1,0
14120,1,0
14121,1,0
14122,1,0
14123,1,0
14124,1,0
14125,1,0
14126,1,0
14127,1,0
14128,1,0
14129,1,0
14130,1,0
14131,1,0
14132,1,0
14133,1,0
14134,1,0
14135,1,0
14136,1,0
14137,1,0
14138,1,0
14139,1,0
14140,1,0
14141,1,0
14146,1,0
14147,1,0
14148,1,0
14149,1,0
14150,1,0
14151,1,0
14152,1,0
14153,1,0
14154,1,0
14155,1,0
14156,1,0
14157,1,0
14158,1,0
14159,1,0
14160,1,0
14161,1,0
14162,1,0
14163,1,0
14164,1,0
14165,1,0
14166,1,0
14167,1,0
14168,1,0
14169,1,0
14189,1,-0.01374
14190,1,-0.01374
14191,1,-0.01374
14192,1,-0.01374
14193,1,-0.01374
14194,1,-0.01374
14195,1,-0.01374
14196,1,-0.01374
14222,1,-0.01374
14223,1,-0.01374
14224,1,-0.01374
14225,1,-0.01374
14226,1,-0.01374
14227,1,-0.01374
14228,1,-0.01374
14229,1,-0.01374
14230,1,-0.01374
14231,1,-0.01374
14232,1,-0.01374
14233,1,-0.01374
14234,1,-0.01374
14235,1,-0.01374
14236,1,-0.01374
14237,1,-0.01374
14238,1,-0.01374
14239,1,-0.01374
14240,1,-0.01374
14241,1,-0.01374
14242,1,-0.01374
14243,1,-0.01374
14244,1,-0.01374
14245,1,-0.01374
14601,1,-0.01374
14617,1,-0.01374
14618,1,-0.01374
14619,1,-0.01374
14725,1,-0.01374
14726,1,-0.01374
14731,1,-0.01374
14732,1,-0.01374
14733,1,-0.01374
14734,1,0
14735,1,0
14736,1,0
14738,1,0
14740,1,0
14741,1,0
14742,1,0
14743,1,0
14744,1,0
14745,1,0
14746,1,0
14747,1,0
14748,1,0
14749,1,0
14750,1,0
14751,1,0
14752,1,0
14753,1,0
14754,1,0
14755,2,-0.012765
14756,2,-0.012765
14757,1,0
14758,1,0
14759,1,0
14760,2,0
14761,2,0
14762,2,0
14763,2,0
14764,2,0
14765,2,0
14766,2,0
14767,2,0
14768,2,0
14769,2,0
14770,2,0
14771,3,0
14772,3,0
14773,4,-0.0075575
14774,4,-0.0075575
14775,4,-0.0075575
14776,3,-0.010076666666666666
14777,3,-0.010076666666666666
14778,3,-0.010076666666666666
14779,3,-0.010076666666666666
14780,6,-0.0036466666666666665
14781,7,-0.003125714285714286
14782,12,-2.3250000000000007e-4
14783,11,-2.536363636363637e-4
14784,11,-0.002574545454545455
14785,7,0.00392
14786,8,2.387499999999998e-4
14787,9,2.1222222222222204e-4
14788,9,2.1222222222222204e-4
14789,9,2.1222222222222204e-4
14790,9,2.1222222222222204e-4
14791,10,1.9099999999999985e-4
14792,10,1.9099999999999985e-4
14794,9,2.1222222222222204e-4
14795,10,1.9099999999999985e-4
14796,10,1.9099999999999985e-4
14797,9,2.1222222222222204e-4
14798,9,2.1222222222222204e-4
14799,10,1.9099999999999985e-4
14800,8,2.387499999999998e-4
14801,7,-9.200000000000001e-4
14802,5,-0.0012880000000000003
14803,3,-0.00851
14804,1,0
14812,2,-0.012765
14813,4,-0.0098175
14814,8,-0.0025225000000000004
14815,10,-0.0011830000000000002
14816,6,-0.0065450000000000005
14817,5,-0.005106
14818,3,-0.00851
14819,3,-0.00851
14820,3,-0.00851
14821,5,-0.005106
14822,4,-0.0063825
14823,3,-0.00851
14824,2,-0.012765
14825,2,-0.012765
14826,1,0
14827,1,0
14833,1,0
14834,1,0
14835,1,0
14836,1,0
14837,1,0
14838,2,-0.012765
14839,2,-0.012765
14840,2,-0.012765
14841,2,-0.012765
14842,2,-0.012765
14843,2,-0.012765
14844,2,-0.012765
14845,3,-0.00851
14846,3,-0.00851
14847,3,-0.00851
14848,3,-0.00851
14849,3,-0.00851
14850,4,-0.0063825
14851,4,-0.0063825
14852,3,-0.00851
14853,3,-0.00851
14854,3,-0.00851
14855,3,-0.00851
14856,3,-0.00851
14857,3,-0.00851
14858,4,-0.0063825
14859,6,-0.004255
14860,7,-9.200000000000001e-4
14861,7,-9.200000000000001e-4
14862,7,-9.200000000000001e-4
14863,5,-0.005106
14864,4,-0.0063825
14865,3,-0.00851
14866,2,-0.012765
14867,4,-0.0063825
14868,4,-0.0063825
14869,2,-0.012765
14870,3,-0.00851
14871,2,-0.012765
14872,2,-0.012765
14873,3,-0.00851
14874,2,-0.012765
14875,2,-0.012765
14876,2,-0.012765
14877,2,-0.012765
14878,2,-0.012765
14879,1,0
14880,1,0
14881,1,0
14882,1,0
14883,1,0
14884,1,0
14885,1,0
14886,1,0
14887,1,0
14908,1,0
14909,1,0
14910,2,-0.00687
14911,1,-0.01374
14912,1,-0.01374
14913,1,-0.01374
14914,1,-0.01374
14915,1,-0.01374
14916,1,-0.01374
14919,1,-0.01374
14920,1,-0.01374
14921,1,-0.01374
14923,1,-0.01374
14941,1,-0.01374
14942,1,-0.01374
14943,1,-0.01374
14944,1,-0.01374
14945,1,-0.01374
14946,1,-0.01374
14947,1,-0.01374
14948,1,-0.01374
14949,1,-0.01374
14956,1,-0.01374
14957,1,-0.01374
14958,1,-0.01374
14960,1,-0.01374
14961,1,-0.01374
14962,1,-0.01374
15317,1,-0.01374
15325,2,-0.012765
15328,2,0
15329,4,-0.0098175
15330,6,-0.0065450000000000005
15331,1,0
15450,1,-0.01374
15451,1,-0.01374
15452,1,-0.01374
15453,1,-0.01374
15455,1,-0.01374
15463,1,0
15464,1,0
15465,1,0
15466,1,0
15467,1,0
15468,1,0
15469,1,0
15470,1,0
15471,1,0
15472,1,0
15473,2,-0.012765
15474,2,-0.012765
15475,2,-0.012765
15476,2,-0.012765
15477,2,-0.012765
15478,2,-0.012765
15479,2,0
15480,2,0
15481,2,0
15482,2,0
15483,2,0
15484,2,0
15485,2,0
15486,2,0
15487,2,0
15488,2,0
15489,2,0
15490,2,0
15491,2,0
15492,2,0
15493,3,-0.010076666666666666
15494,3,-0.010076666666666666
15495,3,-0.010076666666666666
15496,3,-0.010076666666666666
15497,3,-0.010076666666666666
15498,7,-0.003125714285714286
15499,7,-0.003125714285714286
15500,7,-0.003125714285714286
15501,7,-0.003125714285714286
15502,12,-2.3250000000000007e-4
15503,11,-2.536363636363637e-4
15504,11,-2.536363636363637e-4
15505,7,0.00392
15508,8,2.387499999999998e-4
15511,4,0.0047725
15512,8,2.387499999999998e-4
15513,8,2.387499999999998e-4
15516,8,2.387499999999998e-4
15518,8,2.387499999999998e-4
15519,8,2.387499999999998e-4
15520,8,2.387499999999998e-4
15521,8,2.387499999999998e-4
15522,8,2.387499999999998e-4
15523,8,2.387499999999998e-4
15524,6,-0.0010733333333333335
15525,6,-0.0010733333333333335
15526,7,-9.200000000000001e-4
15527,9,2.1222222222222204e-4
15528,9,2.1222222222222204e-4
15529,8,-8.050000000000002e-4
15530,4,-0.0063825
15531,4,-0.0063825
15532,4,-0.0063825
15533,4,-0.0063825
15534,4,-0.0063825
15535,4,-0.0063825
15536,5,-0.005106
15537,5,-0.005106
15538,5,-0.005106
15539,4,-0.0063825
15540,3,-0.00851
15541,4,-0.0063825
15542,3,-0.00851
15543,3,-0.00851
15544,2,-0.012765
15545,1,0
15546,1,0
15553,1,0
15555,1,0
15556,1,0
15557,2,-0.012765
15558,3,-0.00851
15559,3,-0.00851
15560,3,-0.00851
15561,2,-0.012765
15562,3,-0.00851
15563,3,-0.00851
15564,3,-0.00851
15565,3,-0.00851
15566,3,-0.00851
15567,3,-0.00851
15568,3,-0.00851
15569,3,-0.00851
15570,5,-0.005106
15571,4,-0.0063825
15572,5,-0.005106
15573,4,-0.0063825
15574,5,-0.005106
15575,3,-0.00851
15576,3,-0.00851
15577,3,-0.00851
15578,3,-0.00851
15579,3,-0.00851
15580,3,-0.00851
15581,3,-0.00851
15582,3,-0.00851
15583,2,-0.012765
15584,2,-0.012765
15585,3,-0.00851
15586,2,-0.012765
15587,2,-0.012765
15588,2,-0.012765
15589,2,-0.012765
15590,2,-0.012765
15591,2,-0.012765
15592,2,-0.012765
15593,2,-0.012765
15594,2,-0.012765
15595,2,-0.012765
15596,2,-0.012765
15597,2,-0.012765
15598,2,-0.012765
15599,1,0
15600,1,0
15601,1,0
15602,1,0
15603,1,0
15604,1,0
15605,1,0
15606,1,0
15607,1,0
15608,1,0
15625,1,0
15626,1,0
15627,1,0
15628,1,0
15629,1,0
15630,1,0
15631,1,0
15632,1,0
15633,2,-0.00687
15634,2,-0.00687
15635,2,-0.00687
15636,1,-0.01374
15639,1,-0.01374
15640,1,-0.01374
15641,1,-0.01374
15642,1,-0.01374
15643,1,-0.01374
15644,1,-0.01374
15645,1,-0.01374
15646,1,-0.01374
15651,1,-0.01374
15652,1,-0.01374
15662,1,-0.01374
15663,1,-0.01374
15664,1,-0.01374
15665,1,-0.01374
15666,1,-0.01374
15667,1,-0.01374
15668,1,-0.01374
15669,1,-0.01374
15670,1,-0.01374
15671,1,-0.01374
15672,1,-0.01374
15673,1,-0.01374
15679,1,-0.01374
15680,1,-0.01374
15681,1,-0.01374
15682,1,-0.01374
15683,1,-0.01374
15684,1,-0.01374
15685,1,-0.01374
15686,1,-0.01374
15687,1,-0.01374
15688,1,-0.01374
15689,1,-0.01374
15690,1,-0.01374
15691,1,-0.01374
16032,1,-0.01374
16033,1,-0.01374
16034,1,-0.01374
16035,1,-0.01374
16036,1,-0.01374
16037,2,-0.00687
16048,5,-0.0012880000000000003
16049,6,-0.0065450000000000005
16050,6,-0.0065450000000000005
16051,6,-0.0065450000000000005
16052,6,-0.0065450000000000005
16053,2,-0.012765
16054,2,-0.012765
16055,1,-0.01374
16056,2,-0.00687
16057,1,-0.01374
16058,1,-0.01374
16059,1,-0.01374
16061,1,-0.01374
16062,1,-0.01374
16170,1,-0.01374
16171,1,-0.01374
16172,1,-0.01374
16173,1,-0.01374
16183,1,0
16184,1,0
16185,1,0
16186,2,-0.012765
16187,2,-0.012765
16188,2,-0.012765
16189,2,-0.012765
16190,2,-0.012765
16191,2,-0.012765
16192,2,-0.012765
16193,3,-0.00851
16194,3,-0.00851
16195,2,0
16196,2,0
16197,2,0
16198,2,0
16199,2,0
16200,2,0
16201,2,0
16202,2,0
16203,3,0
16204,3,0
16205,3,-0.010076666666666666
16206,4,-0.0075575
16207,3,-0.010076666666666666
16208,3,-0.010076666666666666
16209,3,-0.010076666666666666
16210,3,-0.010076666666666666
16211,3,-0.010076666666666666
16212,3,-0.010076666666666666
16213,3,-0.010076666666666666
16214,3,-0.010076666666666666
16215,3,-0.010076666666666666
16216,3,-0.010076666666666666
16217,4,-0.0075575
16218,6,-0.004471666666666666
16219,5,-0.005366
16220,10,-0.003736
16221,12,-0.0015225000000000002
16222,14,-0.0013050000000000002
16223,13,-0.0014053846153846156
16224,13,-0.0014053846153846156
16225,11,-0.00197
16229,5,0.0038179999999999998
16230,13,-0.0019169230769230771
16231,13,-0.0021784615384615384
16232,10,-0.0028320000000000003
16233,9,2.1222222222222204e-4
16234,9,2.1222222222222204e-4
16239,8,2.387499999999998e-4
16240,8,2.387499999999998e-4
16241,8,2.387499999999998e-4
16242,8,2.387499999999998e-4
16243,8,2.387499999999998e-4
16244,9,2.1222222222222204e-4
16245,10,1.9099999999999985e-4
16246,6,-0.0028633333333333336
16247,6,-0.0028633333333333336
16248,6,-0.0028633333333333336
16249,6,-0.0028633333333333336
16250,6,-0.0028633333333333336
16251,6,-0.0028633333333333336
16252,6,-0.0028633333333333336
16253,10,1.9099999999999985e-4
16254,10,1.9099999999999985e-4
16255,10,1.9099999999999985e-4
16256,10,1.9099999999999985e-4
16257,10,1.9099999999999985e-4
16258,10,1.9099999999999985e-4
16259,10,1.9099999999999985e-4
16260,10,1.9099999999999985e-4
16261,10,1.9099999999999985e-4
16262,6,-0.0028633333333333336
16263,6,-0.0028633333333333336
16264,3,-0.00851
16265,3,-0.00851
16266,3,-0.00851
16267,3,-0.00851
16268,3,-0.00851
16269,2,-0.012765
16270,1,0
16271,3,-0.00851
16272,5,-0.005106
16273,5,-0.005106
16274,4,-0.0063825
16275,4,-0.0063825
16276,4,-0.0063825
16277,3,-0.00851
16278,3,-0.00851
16279,3,-0.00851
16280,3,-0.00851
16281,3,-0.00851
16282,3,-0.00851
16283,3,-0.00851
16284,3,-0.00851
16285,3,-0.00851
16286,3,-0.00851
16287,3,-0.00851
16288,3,-0.00851
16289,3,-0.00851
16290,3,-0.00851
16291,3,-0.00851
16292,3,-0.00851
16293,3,-0.00851
16294,3,-0.00851
16295,3,-0.00851
16296,3,-0.00851
16297,3,-0.00851
16298,3,-0.00851
16299,3,-0.00851
16300,3,-0.00851
16301,3,-0.00851
16302,3,-0.00851
16303,3,-0.00851
16304,3,-0.00851
16305,3,-0.00851
16306,3,-0.00851
16307,3,-0.00851
16308,3,-0.00851
16309,3,-0.00851
16310,3,-0.00851
16311,3,-0.00851
16312,3,-0.00851
16313,2,-0.012765
16314,2,-0.012765
16315,2,-0.012765
16316,2,-0.012765
16317,2,-0.012765
16318,2,-0.012765
16319,2,-0.012765
16320,2,-0.012765
16321,2,-0.012765
16322,2,-0.012765
16323,2,-0.012765
16324,2,-0.012765
16325,2,-0.012765
16326,1,0
16327,2,-0.012765
16328,1,0
16329,1,0
16330,1,0
16331,1,0
16332,1,0
16333,1,0
16334,1,0
16335,1,0
16337,1,0
16338,1,0
16339,1,0
16340,1,0
16342,1,0
16343,1,0
16344,1,0
16345,1,0
16346,1,0
16347,1,0
16348,1,0
16349,1,0
16350,1,0
16351,1,0
16352,1,0
16353,1,0
16354,1,0
16355,1,0
16360,1,-0.01374
16361,1,-0.01374
16362,1,-0.01374
16363,1,-0.01374
16364,1,-0.01374
16365,1,-0.01374
16366,1,-0.01374
16367,1,-0.01374
16368,1,-0.01374
16369,1,-0.01374
16370,1,-0.01374
16371,1,-0.01374
16372,1,-0.01374
16373,1,-0.01374
16379,1,-0.01374
16380,1,-0.01374
16381,1,-0.01374
16382,1,-0.01374
16383,1,-0.01374
16384,1,-0.01374
16385,1,-0.01374
16386,1,-0.01374
16387,1,-0.01374
16388,1,-0.01374
16389,1,-0.01374
16390,1,-0.01374
16391,1,-0.01374
16392,1,-0.01374
16393,1,-0.01374
16394,1,-0.01374
16395,1,-0.01374
16396,1,-0.01374
16397,1,-0.01374
16398,1,-0.01374
16399,1,-0.01374
16400,1,-0.01374
16401,1,-0.01374
16402,1,-0.01374
16410,1,-0.01374
16411,1,-0.01374
16412,1,-0.01374
16414,1,-0.01374
16415,1,-0.01374
16416,1,-0.01374
16417,2,-0.00687
16418,1,-0.01374
16713,1,-0.01374
16715,1,-0.01374
16717,1,-0.01374
16718,1,-0.01374
16721,1,-0.01374
16723,1,-0.01374
16724,1,-0.01374
16725,1,-0.01374
16726,1,-0.01374
16739,1,-0.01374
16755,2,-0.00687
16768,6,-0.0010733333333333335
16769,5,-0.005106
16770,6,-0.0065450000000000005
16771,1,0
16772,1,0
16773,1,0
16774,3,0
16775,6,-0.0065450000000000005
16776,5,-0.007854
16890,1,-0.01374
16891,1,-0.01374
16902,1,0
16903,1,0
16904,1,0
16905,1,0
16906,2,-0.012765
16907,2,-0.012765
16908,2,-0.012765
16909,2,-0.012765
16910,2,-0.012765
16911,3,-0.00851
16912,3,-0.00851
16913,3,-0.00851
16914,3,-0.00851
16915,2,0
16916,2,0
16917,2,0
16918,2,0
16919,2,0
16920,1,0
16921,1,0
16922,1,0
16923,2,0
16924,2,0
16925,3,-0.010076666666666666
16926,3,-0.010076666666666666
16927,3,-0.010076666666666666
16928,3,-0.010076666666666666
16929,3,-0.010076666666666666
16930,3,-0.010076666666666666
16931,3,-0.010076666666666666
16932,3,-0.010076666666666666
16933,3,-0.010076666666666666
16934,3,-0.010076666666666666
16935,3,-0.010076666666666666
16936,3,-0.010076666666666666
16937,3,-0.010076666666666666
16938,3,-0.010076666666666666
16939,5,-0.005366
16940,6,-0.004471666666666666
16941,10,-0.003736
16942,10,-0.003736
16943,14,-0.0013050000000000002
16944,11,-0.00197
16945,11,-0.00197
16946,11,-0.00197
16947,11,-0.00197
16948,11,-0.00197
16949,12,-2.3250000000000007e-4
16950,13,-0.0021784615384615384
16951,13,-0.0021784615384615384
16952,13,-0.0021784615384615384
16953,11,-0.002574545454545455
16954,11,-0.002574545454545455
16958,9,2.1222222222222204e-4
16959,9,2.1222222222222204e-4
16960,5,-0.0034360000000000003
16961,9,2.1222222222222204e-4
16962,8,2.387499999999998e-4
16963,8,2.387499999999998e-4
16964,8,2.387499999999998e-4
16965,8,2.387499999999998e-4
16966,8,2.387499999999998e-4
16967,8,2.387499999999998e-4
16968,5,-0.0034360000000000003
16969,6,-0.0028633333333333336
16970,6,-0.0028633333333333336
16971,6,-0.0028633333333333336
16972,6,-0.0028633333333333336
16973,3,-0.00851
16974,3,-0.00851
16975,6,-0.0028633333333333336
16976,5,-0.005106
16977,3,-0.00851
16978,3,-0.00851
16979,3,-0.00851
16980,3,-0.00851
16981,3,-0.00851
16982,3,-0.00851
16983,3,-0.00851
16984,3,-0.00851
16985,3,-0.00851
16986,5,-0.005106
16987,5,-0.005106
16988,5,-0.005106
16989,5,-0.005106
16990,3,-0.00851
16991,5,-0.005106
16992,6,-0.0028633333333333336
16993,5,-0.005106
16994,5,-0.005106
16995,4,-0.0063825
16996,4,-0.0063825
16997,4,-0.0063825
16998,3,-0.00851
16999,3,-0.00851
17000,3,-0.00851
17001,3,-0.00851
17002,3,-0.00851
17003,3,-0.00851
17004,3,-0.00851
17005,3,-0.00851
17006,3,-0.00851
17007,3,-0.00851
17008,3,-0.00851
17009,3,-0.00851
17010,3,-0.00851
17011,3,-0.00851
17012,3,-0.00851
17013,3,-0.00851
17014,3,-0.00851
17015,3,-0.00851
17016,3,-0.00851
17017,3,-0.00851
17018,3,-0.00851
17019,3,-0.00851
17020,3,-0.00851
17021,3,-0.00851
17022,3,-0.00851
17023,3,-0.00851
17024,3,-0.00851
17025,3,-0.00851
17026,3,-0.00851
17027,3,-0.00851
17028,3,-0.00851
17029,3,-0.00851
17030,3,-0.00851
17031,3,-0.00851
17032,3,-0.00851
17033,2,-0.012765
17034,3,-0.00851
17035,2,-0.012765
17036,2,-0.012765
17037,2,-0.012765
17038,2,-0.012765
17039,2,-0.012765
17040,2,-0.012765
17041,2,-0.012765
17042,2,-0.012765
17043,2,-0.012765
17044,2,-0.012765
17045,2,-0.012765
17046,2,-0.012765
17047,2,-0.012765
17048,2,-0.012765
17049,1,0
17050,1,0
17051,1,0
17052,1,0
17053,1,0
17054,1,0
17055,1,0
17056,1,0
17057,1,0
17058,1,0
17059,1,0
17060,1,0
17061,1,0
17062,1,0
17063,1,0
17064,1,0
17065,1,0
17066,1,0
17067,1,0
17068,1,0
17069,1,0
17070,1,0
17071,1,0
17072,1,0
17073,1,0
17074,1,0
17075,1,0
17076,1,0
17077,1,0
17080,1,-0.01374
17081,1,-0.01374
17082,1,-0.01374
17083,1,-0.01374
17084,1,-0.01374
17085,1,-0.01374
17086,1,-0.01374
17087,1,-0.01374
17088,1,-0.01374
17089,1,-0.01374
17090,1,-0.01374
17091,1,-0.01374
17092,1,-0.01374
17093,1,-0.01374
17097,1,-0.01374
17098,1,-0.01374
17099,1,-0.01374
17100,1,-0.01374
17101,1,-0.01374
17102,1,-0.01374
17103,1,-0.01374
17104,1,-0.01374
17105,1,-0.01374
17106,1,-0.01374
17107,1,-0.01374
17108,1,-0.01374
17109,1,-0.01374
17110,1,-0.01374
17111,1,-0.01374
17112,1,-0.01374
17113,1,-0.01374
17117,1,-0.01374
17118,1,-0.01374
17119,1,-0.01374
17120,1,-0.01374
17121,1,-0.01374
17122,1,-0.01374
17123,1,-0.01374
17124,1,-0.01374
17125,1,-0.01374
17126,1,-0.01374
17127,1,-0.01374
17128,1,-0.01374
17129,1,-0.01374
17130,1,-0.01374
17131,1,-0.01374
17132,1,-0.01374
17133,1,-0.01374
17134,1,-0.01374
17135,1,-0.01374
17136,1,-0.01374
17137,2,-0.00687
17138,2,-0.00687
17139,2,-0.00687
17140,1,-0.01374
17141,1,-0.01374
17142,2,-0.00687
17439,1,-0.01374
17440,1,-0.01374
17441,1,-0.01374
17443,1,-0.01374
17445,1,-0.01374
17446,1,-0.01374
17447,1,-0.01374
17448,1,-0.01374
17449,1,-0.01374
17450,1,-0.01374
17451,1,-0.01374
17452,1,-0.01374
17453,1,-0.01374
17454,1,-0.01374
17455,1,-0.01374
17471,1,0
17472,2,-0.00687
17473,4,-0.003435
17474,6,-0.0033633333333333336
17475,8,-0.0025225000000000004
17477,3,0.006363333333333333
17484,2,-0.0032200000000000006
17485,1,-0.02553
17486,6,6.849999999999998e-4
17487,7,-9.200000000000001e-4
17488,8,-8.050000000000002e-4
17489,5,-0.005106
17490,3,-0.00851
17491,3,-0.00851
17492,3,-0.00851
17493,3,-0.00851
17494,3,-0.00851
17495,5,-0.005106
17496,7,-9.200000000000001e-4
17497,8,2.387499999999998e-4
17498,8,2.387499999999998e-4
17499,8,2.387499999999998e-4
17500,8,2.387499999999998e-4
17501,8,-0.0012037500000000002
17502,9,-0.0010700000000000002
17503,6,-0.0033633333333333336
17504,3,-0.00458
